Title,English_Title,Episodes,Min_Per_Ep,Season,Start_Date,End_Date,Studios,Source,Genres,Themes,Demographic,Rating,Score,Users,Members,Insert_Time
Sousou no Frieren,Frieren: Beyond Journey's End,28.0,24.0,Fall 2023,2023-09-29,2024-03-31,['Madhouse'],Manga,"['Adventure', 'Drama', 'Fantasy']",,Shounen,PG-13 - Teens 13 or older,9.14,121718.0,415470,2023-12-31 16:58:23.046856
Tate no Yuusha no Nariagari Season 3,The Rising of the Shield Hero Season 3,12.0,23.0,Fall 2023,2023-10-06,2023-12-22,['Kinema Citrus'],Light novel,"['Action', 'Adventure', 'Drama', 'Fantasy']",['Isekai'],,PG-13 - Teens 13 or older,7.15,55344.0,387232,2023-12-31 16:58:29.049794
Spy x Family Season 2,,12.0,23.0,Fall 2023,2023-10-07,2023-12-23,"['Wit Studio', 'CloverWorks']",Manga,"['Action', 'Comedy']",['Childcare'],Shounen,PG-13 - Teens 13 or older,8.1,101707.0,383633,2023-12-31 16:58:34.951906
Goblin Slayer II,,12.0,23.0,Fall 2023,2023-10-06,2023-12-22,['LIDENFILMS'],Light novel,"['Action', 'Adventure', 'Fantasy']",['Gore'],,R - 17+ (violence & profanity),7.28,57723.0,297403,2023-12-31 16:58:41.047125
Kage no Jitsuryokusha ni Naritakute! 2nd Season,The Eminence in Shadow Season 2,12.0,23.0,Fall 2023,2023-10-04,2023-12-20,['Nexus'],Light novel,"['Action', 'Comedy', 'Fantasy']","['Isekai', 'Reincarnation']",,R - 17+ (violence & profanity),8.49,110952.0,279461,2023-12-31 16:58:47.062200
Dr. Stone: New World Part 2,,11.0,23.0,Fall 2023,2023-10-12,2023-12-21,['TMS Entertainment'],Manga,"['Adventure', 'Comedy', 'Sci-Fi']",['Time Travel'],Shounen,PG-13 - Teens 13 or older,8.36,72817.0,209889,2023-12-31 16:58:53.064891
Kusuriya no Hitorigoto,The Apothecary Diaries,24.0,22.0,Fall 2023,2023-10-22,2024-03-31,"['OLM', 'TOHO animation STUDIO']",Light novel,"['Drama', 'Mystery']","['Historical', 'Medical']",,PG-13 - Teens 13 or older,8.79,42945.0,201762,2023-12-31 16:58:59.136870
Undead Unluck,,24.0,23.0,Fall 2023,2023-10-07,2024-03-31,['David Production'],Manga,"['Action', 'Comedy', 'Supernatural']",['Super Power'],Shounen,R - 17+ (violence & profanity),7.84,28521.0,182462,2023-12-31 16:59:05.116890
"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su",Shangri-La Frontier,25.0,25.0,Fall 2023,2023-10-01,2024-03-31,['C2C'],Manga,"['Action', 'Adventure', 'Fantasy']",['Video Game'],Shounen,PG-13 - Teens 13 or older,7.98,35551.0,158465,2023-12-31 16:59:11.149286
Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,"The 100 Girlfriends Who Really, Really, Really, Really, Really Love You",12.0,23.0,Fall 2023,2023-10-08,2023-12-24,['Bibury Animation Studios'],Manga,"['Comedy', 'Romance']","['Harem', 'Parody', 'School']",Seinen,PG-13 - Teens 13 or older,7.94,56592.0,153211,2023-12-31 16:59:16.976514
Tokyo Revengers: Tenjiku-hen,,13.0,23.0,Fall 2023,2023-10-04,2023-12-27,['LIDENFILMS'],Manga,"['Action', 'Drama', 'Supernatural']","['Delinquents', 'Time Travel']",Shounen,R - 17+ (violence & profanity),7.87,40818.0,147714,2023-12-31 16:59:23.188824
Hametsu no Oukoku,The Kingdoms of Ruin,12.0,24.0,Fall 2023,2023-10-07,2023-12-23,['Yokohama Animation Lab'],Manga,"['Action', 'Drama', 'Fantasy', 'Sci-Fi']",['Gore'],Shounen,R - 17+ (violence & profanity),6.35,40846.0,144520,2023-12-31 16:59:29.279092
"Keikenzumi na Kimi to, Keiken Zero na Ore ga, Otsukiai suru Hanashi.",Our Dating Story: The Experienced You and The Inexperienced Me,12.0,23.0,Fall 2023,2023-10-06,2023-12-22,['ENGI'],Light novel,['Romance'],['School'],,PG-13 - Teens 13 or older,6.75,39496.0,130250,2023-12-31 16:59:35.180970
Boushoku no Berserk,Berserk of Gluttony,12.0,23.0,Fall 2023,2023-10-05,2023-12-21,['A.C.G.T.'],Light novel,"['Action', 'Fantasy']",,,R - 17+ (violence & profanity),6.78,51831.0,126965,2023-12-31 16:59:41.181382
Ragna Crimson,,24.0,24.0,Fall 2023,2023-10-01,2024-03-31,['SILVER LINK.'],Manga,"['Action', 'Fantasy']",,Shounen,R - 17+ (violence & profanity),7.53,21297.0,123210,2023-12-31 16:59:47.156516
Seiken Gakuin no Makentsukai,The Demon Sword Master of Excalibur Academy,12.0,23.0,Fall 2023,2023-10-03,2023-12-19,['Passione'],Light novel,"['Action', 'Fantasy']","['Harem', 'Reincarnation', 'School']",,R - 17+ (violence & profanity),6.23,30206.0,101492,2023-12-31 16:59:53.269557
Kamonohashi Ron no Kindan Suiri,Ron Kamonohashi's Forbidden Deductions,13.0,24.0,Fall 2023,2023-10-02,2023-12-25,['Diomedéa'],Manga,"['Comedy', 'Mystery']","['Adult Cast', 'Detective']",Shounen,PG-13 - Teens 13 or older,7.44,22104.0,97765,2023-12-31 16:59:59.052299
Saihate no Paladin: Tetsusabi no Yama no Ou,The Faraway Paladin: The Lord of the Rust Mountains,12.0,23.0,Fall 2023,2023-10-07,2023-12-23,"['OLM', 'Sunrise Beyond']",Light novel,"['Action', 'Adventure', 'Fantasy']","['Isekai', 'Reincarnation']",,PG-13 - Teens 13 or older,7.42,19292.0,94619,2023-12-31 17:00:05.155529
Dead Mount Death Play Part 2,,12.0,23.0,Fall 2023,2023-10-10,2023-12-26,['Geek Toys'],Manga,"['Action', 'Fantasy', 'Supernatural']",['Reincarnation'],Seinen,R - 17+ (violence & profanity),7.51,22421.0,82435,2023-12-31 17:00:11.059616
Watashi no Oshi wa Akuyaku Reijou.,I'm in Love with the Villainess,12.0,24.0,Fall 2023,2023-10-03,2023-12-19,['Platinum Vision'],Light novel,"['Comedy', 'Fantasy', 'Girls Love']","['Isekai', 'School']",,PG-13 - Teens 13 or older,7.38,28198.0,78805,2023-12-31 17:00:17.986680
Kikansha no Mahou wa Tokubetsu desu,A Returner's Magic Should Be Special,12.0,23.0,Fall 2023,2023-10-08,2023-12-24,['Arvo Animation'],Web manga,"['Action', 'Fantasy']","['School', 'Time Travel']",,PG-13 - Teens 13 or older,7.1,29003.0,78029,2023-12-31 17:00:23.828195
Kanojo mo Kanojo Season 2,"Girlfriend, Girlfriend Season 2",12.0,24.0,Fall 2023,2023-10-07,2023-12-23,['SynergySP'],Manga,"['Comedy', 'Romance']","['Harem', 'School']",Shounen,PG-13 - Teens 13 or older,7.02,22588.0,77589,2023-12-31 17:00:29.664107
"Konyaku Haki sareta Reijou wo Hirotta Ore ga, Ikenai Koto wo Oshiekomu",I'm Giving the Disgraced Noble Lady I Rescued a Crash Course in Naughtiness,12.0,23.0,Fall 2023,2023-10-04,2023-12-20,"['Zero-G', 'Digital Network Animation']",Light novel,"['Comedy', 'Fantasy', 'Romance']",,,PG-13 - Teens 13 or older,7.2,22864.0,76512,2023-12-31 17:00:35.899003
Hikikomari Kyuuketsuki no Monmon,The Vexations of a Shut-In Vampire Princess,12.0,23.0,Fall 2023,2023-10-07,2023-12-30,['Project No.9'],Light novel,"['Comedy', 'Fantasy']",['Vampire'],,PG-13 - Teens 13 or older,7.31,15500.0,75743,2023-12-31 17:00:41.750499
Mahoutsukai no Yome Season 2 Part 2,The Ancient Magus' Bride Season 2 Part 2,12.0,24.0,Fall 2023,2023-10-05,2023-12-21,['Studio Kafka'],Manga,"['Drama', 'Fantasy', 'Romance']","['Mythology', 'School']",Shounen,PG-13 - Teens 13 or older,7.85,18956.0,70887,2023-12-31 17:00:47.720191
Seijo no Maryoku wa Bannou desu Season 2,The Saint's Magic Power is Omnipotent Season 2,12.0,23.0,Fall 2023,2023-10-03,2023-12-19,['Diomedéa'],Light novel,"['Fantasy', 'Romance']","['Isekai', 'Medical']",,PG-13 - Teens 13 or older,7.4,17279.0,64801,2023-12-31 17:00:53.650534
Boukensha ni Naritai to Miyako ni Deteitta Musume ga S-Rank ni Natteta,My Daughter Left the Nest and Returned an S-Rank Adventurer,13.0,23.0,Fall 2023,2023-09-28,2023-12-21,['Typhoon Graphics'],Light novel,"['Action', 'Adventure', 'Fantasy']",,,PG-13 - Teens 13 or older,6.79,20840.0,61422,2023-12-31 17:00:59.672905
Ojou to Banken-kun,A Girl & Her Guard Dog,13.0,23.0,Fall 2023,2023-09-29,2023-12-22,['Project No.9'],Manga,['Romance'],['School'],Shoujo,PG-13 - Teens 13 or older,5.67,14564.0,57934,2023-12-31 17:01:05.700324
Toaru Ossan no VRMMO Katsudouki,A Playthrough of a Certain Dude's VRMMO Life,12.0,23.0,Fall 2023,2023-10-03,2023-12-19,['Maho Film'],Light novel,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Video Game'],,PG-13 - Teens 13 or older,6.39,20602.0,53450,2023-12-31 17:01:11.499837
Under Ninja,,12.0,24.0,Fall 2023,2023-10-06,2023-12-22,['Tezuka Productions'],Manga,['Action'],,Seinen,R - 17+ (violence & profanity),6.95,12589.0,52855,2023-12-31 17:01:17.541618
"Tearmoon Teikoku Monogatari: Dantoudai kara Hajimaru, Hime no Tensei Gyakuten Story",Tearmoon Empire,12.0,23.0,Fall 2023,2023-10-08,2023-12-24,['SILVER LINK.'],Light novel,"['Comedy', 'Fantasy']",['Time Travel'],,PG-13 - Teens 13 or older,7.3,18643.0,52031,2023-12-31 17:01:23.305510
Overtake!,,12.0,23.0,Fall 2023,2023-10-01,2023-12-17,['TROYCA'],Original,['Drama'],['Racing'],,PG-13 - Teens 13 or older,7.55,13809.0,50694,2023-12-31 17:01:29.441199
MF Ghost,,12.0,23.0,Fall 2023,2023-10-02,2023-12-18,['Felix Film'],Manga,,['Racing'],Seinen,PG-13 - Teens 13 or older,7.63,16606.0,50678,2023-12-31 17:01:35.433705
Migi to Dali,Migi & Dali,13.0,23.0,Fall 2023,2023-10-02,2023-12-25,"['Geek Toys', 'CompTown']",Manga,"['Comedy', 'Mystery', 'Suspense']",,Seinen,PG-13 - Teens 13 or older,7.79,13879.0,50276,2023-12-31 17:01:41.466870
Houkago Shounen Hanako-kun,After-School Hanako-kun,4.0,10.0,Fall 2023,2023-10-13,2023-11-03,['Lerche'],Web manga,"['Comedy', 'Supernatural']","['Parody', 'School']",,PG-13 - Teens 13 or older,7.03,11454.0,50158,2023-12-31 17:01:47.483498
Shy,Shy,12.0,23.0,Fall 2023,2023-10-03,2023-12-19,['8bit'],Manga,"['Action', 'Drama']",['Super Power'],Shounen,PG-13 - Teens 13 or older,6.76,13778.0,49423,2023-12-31 17:01:53.665684
Nanatsu no Taizai: Mokushiroku no Yonkishi,The Seven Deadly Sins: Four Knights of the Apocalypse,24.0,23.0,Fall 2023,2023-10-08,2024-03-31,['Telecom Animation Film'],Manga,"['Action', 'Adventure', 'Fantasy']",,Shounen,PG-13 - Teens 13 or older,7.18,3456.0,47505,2023-12-31 17:01:59.519976
Hoshikuzu Telepath,Stardust Telepath,12.0,23.0,Fall 2023,2023-10-09,2023-12-25,['Studio Gokumi'],4-koma manga,"['Comedy', 'Girls Love', 'Supernatural']","['CGDCT', 'School']",,PG-13 - Teens 13 or older,7.22,9188.0,43212,2023-12-31 17:02:05.714753
Dekoboko Majo no Oyako Jijou,The Family Circumstances of the Irregular Witch,12.0,23.0,Fall 2023,2023-10-01,2023-12-17,['A-Real'],4-koma manga,"['Comedy', 'Fantasy']",['Gag Humor'],,PG-13 - Teens 13 or older,6.81,11830.0,41650,2023-12-31 17:02:11.932728
16bit Sensation: Another Layer,16bit Sensation: Another Layer,13.0,23.0,Fall 2023,2023-10-05,2023-12-28,['Silver'],Web manga,"['Comedy', 'Sci-Fi', 'Supernatural']","['Adult Cast', 'Otaku Culture', 'Time Travel', 'Workplace']",,PG-13 - Teens 13 or older,6.99,12311.0,39906,2023-12-31 17:02:17.986478
Yuzuki-san Chi no Yonkyoudai.,The Yuzuki Family's Four Sons,12.0,23.0,Fall 2023,2023-10-05,2023-12-21,['Shuka'],Manga,['Slice of Life'],['School'],Shoujo,PG-13 - Teens 13 or older,7.89,10860.0,38749,2023-12-31 17:02:23.788713
Atarashii Joushi wa Do Tennen,My New Boss Is Goofy,12.0,23.0,Fall 2023,2023-10-07,2023-12-23,['A-1 Pictures'],Web manga,['Slice of Life'],"['Adult Cast', 'Iyashikei', 'Workplace']",,PG-13 - Teens 13 or older,8.05,10395.0,37397,2023-12-31 17:02:29.842582
Arknights: Touin Kiro,Arknights: Perish in Frost,8.0,23.0,Fall 2023,2023-10-07,2023-11-25,['Yostar Pictures'],Game,"['Action', 'Fantasy']",,,PG-13 - Teens 13 or older,7.58,8972.0,34996,2023-12-31 17:02:35.988236
Buta no Liver wa Kanetsu Shiro,Butareba -The Story of a Man Who Turned into a Pig-,12.0,24.0,Fall 2023,2023-10-08,,['Project No.9'],Light novel,"['Adventure', 'Fantasy']",['Isekai'],,PG-13 - Teens 13 or older,5.95,5948.0,32045,2023-12-31 17:02:42.137616
Paradox Live the Animation,,12.0,23.0,Fall 2023,2023-10-03,2023-12-26,['PINE JAM'],Mixed media,"['Drama', 'Sci-Fi']",['Music'],,PG-13 - Teens 13 or older,6.91,4730.0,31072,2023-12-31 17:02:48.045905
Potion-danomi de Ikinobimasu!,I Shall Survive Using Potions!,12.0,23.0,Fall 2023,2023-10-08,2023-12-24,['Jumondo'],Light novel,"['Adventure', 'Fantasy']","['Isekai', 'Reincarnation']",,PG-13 - Teens 13 or older,6.53,11136.0,29022,2023-12-31 17:02:53.819535
Bokura no Ame-iro Protocol,Protocol: Rain,12.0,23.0,Fall 2023,2023-10-08,2023-12-24,['Quad'],Original,['Action'],['Video Game'],,PG-13 - Teens 13 or older,6.13,6762.0,27477,2023-12-31 17:03:00.244013
Megumi no Daigo: Kyuukoku no Orange,Firefighter Daigo: Rescuer in Orange,24.0,23.0,Fall 2023,2023-09-30,2024-03-31,"[""Brain's Base""]",Manga,"['Action', 'Drama']",['Adult Cast'],Shounen,PG-13 - Teens 13 or older,6.7,3504.0,21906,2023-12-31 17:03:06.368223
Kamierabi,KamiErabi GOD.app,12.0,22.0,Fall 2023,2023-10-05,2023-12-21,['Unend'],Original,"['Action', 'Suspense']",['High Stakes Game'],,PG-13 - Teens 13 or older,5.78,4033.0,21157,2023-12-31 17:03:12.718658
FLCL: Shoegaze,,3.0,23.0,Fall 2023,2023-10-01,2023-10-15,"['Production I.G', 'Nut', 'Akatsuki']",Original,"['Action', 'Avant Garde', 'Comedy', 'Sci-Fi']","['Mecha', 'Parody']",,PG-13 - Teens 13 or older,6.17,2564.0,16701,2023-12-31 17:03:18.680298
Uma Musume: Pretty Derby Season 3,,13.0,23.0,Fall 2023,2023-10-05,2023-12-28,['Studio Kai'],Game,['Sports'],['Anthropomorphic'],,PG-13 - Teens 13 or older,7.61,4039.0,16190,2023-12-31 17:03:24.866536
Bullbuster,,12.0,23.0,Fall 2023,2023-10-04,2023-12-20,['Nut'],Mixed media,"['Action', 'Sci-Fi']","['Adult Cast', 'Mecha', 'Workplace']",,PG-13 - Teens 13 or older,6.14,2737.0,10685,2023-12-31 17:03:31.143303
Captain Tsubasa Season 2: Junior Youth-hen,Captain Tsubasa: Junior Youth Arc,39.0,22.0,Fall 2023,2023-10-01,,['Studio Kai'],Manga,['Sports'],['Team Sports'],Shounen,G - All Ages,7.38,1482.0,10273,2023-12-31 17:03:37.090875
The iDOLM@STER Million Live!,,12.0,24.0,Fall 2023,2023-10-08,2023-12-24,['Shirogumi'],Game,,"['Idols (Female)', 'Music']",,PG-13 - Teens 13 or older,6.93,1622.0,8973,2023-12-31 17:03:43.266006
Hypnosis Mic: Division Rap Battle - Rhyme Anima +,HYPNOSISMIC -Division Rap Battle- Rhyme Anima PLUS,13.0,23.0,Fall 2023,2023-10-07,2023-12-30,['A-1 Pictures'],Mixed media,['Sci-Fi'],"['Adult Cast', 'Music']",,R - 17+ (violence & profanity),6.91,1338.0,8879,2023-12-31 17:03:49.107974
Kibou no Chikara: Otona Precure '23,Power of Hope ~Precure Full Bloom~,12.0,25.0,Fall 2023,2023-10-07,2023-12-23,"['Toei Animation', 'Studio Deen']",Original,"['Action', 'Fantasy']","['Adult Cast', 'Mahou Shoujo']",,PG-13 - Teens 13 or older,6.72,1319.0,6525,2023-12-31 17:03:55.153449
Rail Romanesque 2,,13.0,3.0,Fall 2023,2023-10-06,2023-12-29,"['Yokohama Animation Lab', 'Cloud Hearts']",Visual novel,['Slice of Life'],,,PG-13 - Teens 13 or older,5.66,319.0,6076,2023-12-31 17:04:01.156771
Kawagoe Boys Sing,Kawagoe Boys Sing -Now or Never-,12.0,23.0,Fall 2023,2023-10-09,2024-02-05,['evg'],Original,['Slice of Life'],"['Music', 'School']",,PG-13 - Teens 13 or older,5.48,776.0,5615,2023-12-31 17:04:07.149953
B-Project: Netsuretsu*Love Call,B-Project: Passion*Love Call,12.0,23.0,Fall 2023,2023-10-02,2023-12-18,['Asahi Production'],Mixed media,,"['Idols (Male)', 'Music']",,PG-13 - Teens 13 or older,6.33,490.0,5037,2023-12-31 17:04:13.054690
Dog Signal,,20.0,25.0,Fall 2023,2023-10-22,,['Fugaku'],Manga,['Slice of Life'],"['Adult Cast', 'Pets', 'Workplace']",Josei,PG-13 - Teens 13 or older,6.24,445.0,4884,2023-12-31 17:04:18.790579
Kizuna no Allele Season 2,,12.0,22.0,Fall 2023,2023-10-05,2023-12-21,"['Wit Studio', 'Signal.MD']",Original,,"['Music', 'School']",,PG-13 - Teens 13 or older,5.69,954.0,3872,2023-12-31 17:04:24.981355
Bikkurimen,,12.0,23.0,Fall 2023,2023-10-05,2023-12-21,['Lesprit'],Other,"['Comedy', 'Fantasy']",,,PG-13 - Teens 13 or older,5.61,347.0,2747,2023-12-31 17:04:31.153104
Beyblade X,,,24.0,Fall 2023,2023-10-06,,['OLM'],Manga,"['Adventure', 'Sports']",,Kids,PG - Children,6.73,401.0,2112,2023-12-31 17:04:37.080145
Matsuinu,,12.0,3.0,Fall 2023,2023-10-07,2023-12-23,['Point Pictures'],Manga,,['Pets'],,G - All Ages,,,992,2023-12-31 17:04:42.837132
Ochibi-san,,24.0,5.0,Fall 2023,2023-10-08,,['Khara'],Manga,['Slice of Life'],,,G - All Ages,6.16,112.0,669,2023-12-31 17:04:48.649981
Shinobanai! Crypto Ninja Sakuya,,13.0,5.0,Fall 2023,2023-10-04,2023-12-27,['Fanworks'],Other,['Action'],,,G - All Ages,,,312,2023-12-31 17:04:54.271735
Sumikko Gurashi: Sorairo no Mainichi,,5.0,5.0,Fall 2023,2023-10-26,2023-11-05,['Fanworks'],Other,['Comedy'],,,G - All Ages,,,311,2023-12-31 17:05:00.098456
Chickip Dancers 3rd Season,,,5.0,Fall 2023,2023-09-25,,['Fanworks'],Original,['Slice of Life'],,,G - All Ages,,,275,2023-12-31 17:05:05.763746
Saekomdalkom Catch! Tiniping,,26.0,,Fall 2023,2023-09-22,,,Original,['Fantasy'],['Mahou Shoujo'],,PG - Children,,,268,2023-12-31 17:05:11.479897
Heart Cocktail Colorful: Fuyu-hen,,5.0,5.0,Fall 2023,2023-12-11,2023-12-15,,Original,['Romance'],,Seinen,PG-13 - Teens 13 or older,,,224,2023-12-31 17:05:17.138382
Zenryoku Usagi (2023),,,5.0,Fall 2023,2023-10-07,,['Rising Force'],Manga,['Comedy'],,Kids,G - All Ages,,,191,2023-12-31 17:05:22.716453
Shasha and Milo,,,,Fall 2023,2023-11-03,,,Original,"['Action', 'Adventure', 'Comedy']",['Super Power'],Kids,None,,,164,2023-12-31 17:05:28.420296
Riseman,,26.0,,Fall 2023,2023-10-18,,,Original,['Action'],['Super Power'],,G - All Ages,,,156,2023-12-31 17:05:34.095299
Cabeon,,,,Fall 2023,2023-09-02,,,Original,"['Action', 'Sci-Fi']",,Kids,PG - Children,,,148,2023-12-31 17:05:39.726150
Totonoe! Sakuma-kun by &sauna,,,5.0,Fall 2023,2023-11-12,,['Kachidoki Studio'],Original,['Slice of Life'],['Anthropomorphic'],,G - All Ages,,,121,2023-12-31 17:05:45.379086
Hero Inside,,,13.0,Fall 2023,2023-11-08,,,Original,"['Action', 'Adventure']",['Super Power'],,PG-13 - Teens 13 or older,,,116,2023-12-31 17:05:50.900272
Kkomimanyeo Lara Season 2,,,,Fall 2023,2023-10-14,,,Original,['Fantasy'],"['Mahou Shoujo', 'School']",Kids,PG - Children,,,104,2023-12-31 17:05:56.628901
Choeganggyeongchal Miniforce,,,11.0,Fall 2023,2023-11-28,,['SAMG Entertainment '],Original,['Action'],"['Anthropomorphic', 'Mecha']",Kids,PG - Children,,,92,2023-12-31 17:06:02.380472
Sinbi Apateu: Ghost Ball Zero - Du Beonjjae Iyagi,,,,Fall 2023,2023-11-30,,,Original,"['Fantasy', 'Supernatural']",,Kids,G - All Ages,,,89,2023-12-31 17:06:08.088373
Hello Carbot Season 14,,,11.0,Fall 2023,2023-11-05,,,Original,['Action'],"['Mecha', 'Racing']",Kids,PG - Children,,,76,2023-12-31 17:06:13.680922
Geomeongsupeul Jikyeola! Birdy Friends,,26.0,,Fall 2023,2023-11-23,2024-05-16,,Original,['Adventure'],,Kids,PG - Children,,,68,2023-12-31 17:06:19.358683
Mythteria 2nd Season,Mythteria 2nd Season,,12.0,Fall 2023,2023-11-27,,,Original,['Adventure'],,Kids,PG - Children,,,68,2023-12-31 17:06:24.890760
Maca and Roni 3,,,,Fall 2023,2023-10-28,,,Original,['Comedy'],,Kids,G - All Ages,,,41,2023-12-31 17:06:30.404276
Jujutsu Kaisen 2nd Season,Jujutsu Kaisen Season 2,23.0,23.0,Summer 2023,2023-07-06,2023-12-28,['MAPPA'],Manga,"['Action', 'Fantasy']",['School'],Shounen,R - 17+ (violence & profanity),8.92,253704.0,741805,2023-12-31 17:06:36.528403
Mushoku Tensei II: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation Season 2,12.0,23.0,Summer 2023,2023-07-10,2023-09-25,['Studio Bind'],Light novel,"['Adventure', 'Drama', 'Fantasy', 'Ecchi']","['Isekai', 'Reincarnation']",,R - 17+ (violence & profanity),8.3,235818.0,476538,2023-12-31 17:06:42.692715
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,Zom 100: Bucket List of the Dead,12.0,24.0,Summer 2023,2023-07-09,2023-12-26,['BUG FILMS'],Manga,"['Action', 'Comedy', 'Horror', 'Supernatural', 'Suspense']","['Adult Cast', 'Survival']",Seinen,R - 17+ (violence & profanity),7.98,137938.0,441434,2023-12-31 17:06:48.815380
Horimiya: Piece,Horimiya: The Missing Pieces,13.0,23.0,Summer 2023,2023-07-01,2023-09-23,['CloverWorks'],Manga,['Romance'],['School'],Shounen,PG-13 - Teens 13 or older,8.22,105258.0,279480,2023-12-31 17:06:54.725907
Watashi no Shiawase na Kekkon,My Happy Marriage,12.0,23.0,Summer 2023,2023-07-05,2023-09-20,['Kinema Citrus'],Novel,"['Drama', 'Fantasy', 'Romance']","['Adult Cast', 'Historical']",,PG-13 - Teens 13 or older,7.81,106676.0,236732,2023-12-31 17:07:00.565602
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,Bleach: Thousand-Year Blood War - The Separation,13.0,24.0,Summer 2023,2023-07-08,2023-09-30,['Pierrot'],Manga,"['Action', 'Adventure', 'Fantasy']",,Shounen,R - 17+ (violence & profanity),8.71,113951.0,236128,2023-12-31 17:07:06.324733
Masamune-kun no Revenge R,Masamune-kun's Revenge R,12.0,23.0,Summer 2023,2023-07-03,2023-09-18,['SILVER LINK.'],Manga,"['Comedy', 'Romance']","['Harem', 'School']",Shounen,PG-13 - Teens 13 or older,7.24,59499.0,182367,2023-12-31 17:07:12.364647
Suki na Ko ga Megane wo Wasureta,The Girl I Like Forgot Her Glasses,13.0,23.0,Summer 2023,2023-07-04,2023-09-26,['GoHands'],Manga,['Comedy'],"['Romantic Subtext', 'School']",Shounen,PG-13 - Teens 13 or older,7.14,59991.0,171388,2023-12-31 17:07:18.218186
Bungou Stray Dogs 5th Season,Bungo Stray Dogs 5,11.0,23.0,Summer 2023,2023-07-12,2023-09-20,['Bones'],Manga,"['Action', 'Mystery', 'Supernatural']","['Adult Cast', 'Detective', 'Organized Crime', 'Super Power', 'Vampire']",Seinen,R - 17+ (violence & profanity),8.66,62165.0,155018,2023-12-31 17:07:24.157984
