Title,English_Title,Episodes,Min_Per_Ep,Season,Start_Date,End_Date,Studios,Source,Genres,Themes,Demographic,Rating,Score,Users,Members,Insert_Time
"Kanojo, Okarishimasu 3rd Season",Rent-a-Girlfriend Season 3,12.0,23.0,Summer 2023,2023-07-08,2023-09-30,['TMS Entertainment'],Manga,"['Comedy', 'Romance']","['Adult Cast', 'Harem']",Shounen,PG-13 - Teens 13 or older,7.07,57714.0,150939,2023-12-31 17:07:30.172330
Nanatsu no Maken ga Shihai suru,Reign of the Seven Spellblades,15.0,23.0,Summer 2023,2023-07-08,2023-10-14,['J.C.Staff'],Light novel,"['Action', 'Fantasy']",['School'],,PG-13 - Teens 13 or older,6.6,46278.0,132808,2023-12-31 17:07:36.471235
"Jitsu wa Ore, Saikyou deshita?",Am I Actually the Strongest?,12.0,23.0,Summer 2023,2023-07-02,2023-10-01,['Staple Entertainment'],Light novel,"['Adventure', 'Fantasy']","['Isekai', 'Reincarnation']",,PG-13 - Teens 13 or older,6.51,61231.0,132431,2023-12-31 17:07:42.484687
Liar Liar,,12.0,23.0,Summer 2023,2023-07-08,2023-09-23,['Geek Toys'],Light novel,['Suspense'],"['Psychological', 'School', 'Strategy Game']",,PG-13 - Teens 13 or older,6.32,46317.0,130690,2023-12-31 17:07:48.632921
Yumemiru Danshi wa Genjitsushugisha,The Dreaming Boy is a Realist,12.0,23.0,Summer 2023,2023-07-04,2023-09-19,"['Studio Gokumi', 'AXsiZ']",Light novel,"['Comedy', 'Romance']",['School'],,PG-13 - Teens 13 or older,6.62,54768.0,126988,2023-12-31 17:07:54.472980
Undead Girl Murder Farce,Undead Murder Farce,13.0,22.0,Summer 2023,2023-07-06,2023-09-28,['Lapin Track'],Novel,"['Fantasy', 'Mystery']","['Adult Cast', 'Detective', 'Historical', 'Vampire']",,R - 17+ (violence & profanity),7.91,50672.0,126483,2023-12-31 17:08:00.414341
Hataraku Maou-sama!! 2nd Season,The Devil is a Part-Timer! Season 2 (Sequel),12.0,23.0,Summer 2023,2023-07-13,2023-09-28,['Studio 3Hz'],Light novel,"['Comedy', 'Fantasy']","['Mythology', 'Romantic Subtext', 'Workplace']",,PG-13 - Teens 13 or older,6.66,32412.0,118084,2023-12-31 17:08:06.447149
Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou,"Reborn as a Vending Machine, I Now Wander the Dungeon",12.0,23.0,Summer 2023,2023-07-05,2023-09-20,"['Studio Gokumi', 'AXsiZ']",Light novel,"['Comedy', 'Fantasy']","['Isekai', 'Reincarnation']",,PG-13 - Teens 13 or older,6.53,52860.0,115000,2023-12-31 17:08:12.171428
Dark Gathering,Dark Gathering,25.0,23.0,Summer 2023,2023-07-10,2023-12-25,['OLM'],Manga,"['Horror', 'Supernatural']",['Gore'],Shounen,R - 17+ (violence & profanity),7.81,25586.0,110742,2023-12-31 17:08:18.005546
Rurouni Kenshin: Meiji Kenkaku Romantan (2023),,24.0,22.0,Summer 2023,2023-07-07,2023-12-15,['LIDENFILMS'],Manga,['Action'],"['Historical', 'Samurai']",Shounen,PG-13 - Teens 13 or older,7.62,28890.0,104721,2023-12-31 17:08:23.755804
Eiyuu Kyoushitsu,Classroom for Heroes,12.0,23.0,Summer 2023,2023-07-09,2023-09-24,['Actas'],Light novel,"['Action', 'Fantasy', 'Ecchi']","['Harem', 'School']",,PG-13 - Teens 13 or older,6.07,34493.0,98622,2023-12-31 17:08:29.818837
Level 1 dakedo Unique Skill de Saikyou desu,My Unique Skill Makes Me OP Even at Level 1,12.0,23.0,Summer 2023,2023-07-08,2023-09-23,['Maho Film'],Light novel,['Fantasy'],"['Harem', 'Isekai', 'Reincarnation']",,PG-13 - Teens 13 or older,6.24,44244.0,95849,2023-12-31 17:08:35.602884
Uchi no Kaisha no Chiisai Senpai no Hanashi,My Tiny Senpai,12.0,23.0,Summer 2023,2023-07-02,2023-10-01,['Project No.9'],Web manga,"['Comedy', 'Romance']","['Adult Cast', 'Workplace']",,PG-13 - Teens 13 or older,6.91,31933.0,92516,2023-12-31 17:08:41.525456
"Seija Musou: Salaryman, Isekai de Ikinokoru Tame ni Ayumu Michi",The Great Cleric,12.0,24.0,Summer 2023,2023-07-07,2023-09-29,"['Yokohama Animation Lab', 'Cloud Hearts']",Light novel,"['Comedy', 'Fantasy']","['Isekai', 'Reincarnation']",,PG-13 - Teens 13 or older,7.09,45988.0,88535,2023-12-31 17:08:47.849384
Dekiru Neko wa Kyou mo Yuuutsu,The Masterful Cat Is Depressed Again Today,13.0,23.0,Summer 2023,2023-07-08,2023-09-30,['GoHands'],Web manga,"['Comedy', 'Supernatural']","['Adult Cast', 'Anthropomorphic']",,PG-13 - Teens 13 or older,7.68,31658.0,87961,2023-12-31 17:08:53.834228
Helck,Helck,24.0,22.0,Summer 2023,2023-07-12,2023-12-20,['Satelight'],Web manga,"['Action', 'Fantasy']",,,PG-13 - Teens 13 or older,7.26,24949.0,80442,2023-12-31 17:08:59.949974
Temple,TenPuru: No One Can Live on Loneliness,12.0,24.0,Summer 2023,2023-07-09,2023-09-24,['Gekkou'],Web manga,"['Comedy', 'Romance', 'Ecchi']",['Harem'],,PG-13 - Teens 13 or older,6.73,30900.0,80366,2023-12-31 17:09:06.080375
Higeki no Genkyou to Naru Saikyou Gedou Last Boss Joou wa Tami no Tame ni Tsukushimasu.,The Most Heretical Last Boss Queen: From Villainess to Savior,12.0,23.0,Summer 2023,2023-07-07,2023-09-22,['OLM Team Yoshioka'],Light novel,['Fantasy'],"['Isekai', 'Reincarnation']",Josei,PG-13 - Teens 13 or older,7.09,30661.0,73593,2023-12-31 17:09:12.351278
Shinigami Bocchan to Kuro Maid 2nd Season,The Duke of Death and His Maid Season 2,12.0,23.0,Summer 2023,2023-07-09,2023-09-24,['J.C.Staff'],Web manga,"['Comedy', 'Supernatural']",['Romantic Subtext'],,PG-13 - Teens 13 or older,7.58,19915.0,71570,2023-12-31 17:09:18.217499
Okashi na Tensei,Sweet Reincarnation,12.0,23.0,Summer 2023,2023-07-04,2023-09-19,['SynergySP'],Light novel,['Fantasy'],"['Isekai', 'Reincarnation']",,PG-13 - Teens 13 or older,6.71,34445.0,70267,2023-12-31 17:09:24.200314
Shiro Seijo to Kuro Bokushi,Saint Cecilia and Pastor Lawrence,12.0,23.0,Summer 2023,2023-07-13,2023-09-28,['Doga Kobo'],4-koma manga,"['Fantasy', 'Romance']",,Shounen,PG-13 - Teens 13 or older,7.36,22621.0,66545,2023-12-31 17:09:30.313903
Lv1 Maou to One Room Yuusha,Level 1 Demon Lord and One Room Hero,12.0,23.0,Summer 2023,2023-07-03,2023-09-18,"['SILVER LINK.', 'Blade']",Web manga,"['Comedy', 'Fantasy']",,,PG-13 - Teens 13 or older,7.2,25587.0,61843,2023-12-31 17:09:36.262645
Ryza no Atelier: Tokoyami no Joou to Himitsu no Kakurega,Atelier Ryza: Ever Darkness & the Secret Hideout The Animation,12.0,26.0,Summer 2023,2023-07-02,2023-09-17,['LIDENFILMS'],Game,"['Adventure', 'Fantasy']",,,PG-13 - Teens 13 or older,6.44,17380.0,60743,2023-12-31 17:09:42.266122
Sugar Apple Fairy Tale Part 2,,12.0,22.0,Summer 2023,2023-07-07,2023-09-22,['J.C.Staff'],Light novel,"['Adventure', 'Drama', 'Fantasy', 'Romance']",['Visual Arts'],Shoujo,PG-13 - Teens 13 or older,7.63,18751.0,49119,2023-12-31 17:09:48.470273
AI no Idenshi,The Gene of AI,12.0,24.0,Summer 2023,2023-07-08,2023-09-30,['Madhouse'],Manga,"['Drama', 'Sci-Fi', 'Suspense']",['Psychological'],Shounen,PG-13 - Teens 13 or older,6.57,12439.0,40994,2023-12-31 17:09:54.247785
Ayaka,Ayaka: A Story of Bonds and Wounds,12.0,23.0,Summer 2023,2023-07-02,2023-09-17,['Studio Blanc.'],Original,['Fantasy'],['Mythology'],,PG-13 - Teens 13 or older,6.44,11678.0,39329,2023-12-31 17:10:00.096302
Spy Kyoushitsu 2nd Season,Spy Classroom Season 2,12.0,23.0,Summer 2023,2023-07-13,2023-09-28,['feel.'],Light novel,"['Action', 'Fantasy', 'Mystery']",,,PG-13 - Teens 13 or older,7.15,12064.0,36670,2023-12-31 17:10:05.855534
Genjitsu no Yohane: Sunshine in the Mirror,Yohane the Parhelion: Sunshine in the Mirror,13.0,23.0,Summer 2023,2023-07-02,2023-09-24,['Sunrise'],Other,['Fantasy'],"['Idols (Female)', 'Music']",,PG-13 - Teens 13 or older,6.91,9795.0,34996,2023-12-31 17:10:11.920686
Synduality: Noir,,12.0,24.0,Summer 2023,2023-07-11,2023-09-26,['8bit'],Mixed media,"['Action', 'Sci-Fi']",['Mecha'],,PG-13 - Teens 13 or older,6.74,8482.0,32427,2023-12-31 17:10:17.900323
Mononogatari 2nd Season,Malevolent Spirits: Mononogatari 2nd Season,12.0,23.0,Summer 2023,2023-07-04,2023-09-19,['Bandai Namco Pictures'],Manga,"['Action', 'Fantasy']","['Adult Cast', 'Mythology']",Seinen,PG-13 - Teens 13 or older,7.34,12026.0,30583,2023-12-31 17:10:24.174700
FLCL: Grunge,,3.0,24.0,Summer 2023,2023-09-10,2023-09-24,['MontBlanc Pictures'],Original,"['Action', 'Avant Garde', 'Comedy', 'Sci-Fi']","['Mecha', 'Parody']",,PG-13 - Teens 13 or older,4.71,3126.0,30531,2023-12-31 17:10:30.165604
BanG Dream! It's MyGO!!!!!,,13.0,24.0,Summer 2023,2023-06-29,2023-09-14,['SANZIGEN'],Mixed media,,['Music'],,PG-13 - Teens 13 or older,8.24,6354.0,14808,2023-12-31 17:10:36.157186
Yami Shibai 11,,13.0,4.0,Summer 2023,2023-07-10,2023-10-02,['ILCA'],Original,"['Avant Garde', 'Horror', 'Supernatural']",,,PG-13 - Teens 13 or older,5.75,1740.0,5799,2023-12-31 17:10:42.111530
Hyakushou Kizoku,,12.0,4.0,Summer 2023,2023-07-07,2023-09-22,['Pie in the sky'],Manga,['Comedy'],,Shoujo,PG-13 - Teens 13 or older,6.67,1222.0,3616,2023-12-31 17:10:48.098938
Cardfight!! Vanguard: will+Dress Season 3,,13.0,24.0,Summer 2023,2023-07-08,2023-10-07,"['Kinema Citrus', 'GIFTanimation', 'Studio Jemi']",Original,['Action'],['Strategy Game'],,PG-13 - Teens 13 or older,6.54,668.0,2567,2023-12-31 17:10:53.965779
Shadowverse Flame: Seven Shadows-hen,,25.0,23.0,Summer 2023,2023-07-08,2023-12-23,['Zexcs'],Card game,['Fantasy'],['Strategy Game'],,PG-13 - Teens 13 or older,6.79,393.0,2346,2023-12-31 17:10:59.842289
Nanashi Kaidan (2023),,5.0,6.0,Summer 2023,2023-08-07,2023-08-11,,Original,['Horror'],,,G - All Ages,,,2112,2023-12-31 17:11:05.884113
Ikimono-san,,12.0,2.0,Summer 2023,2023-07-08,2023-09-30,['New Deer'],Other,"['Avant Garde', 'Comedy']",,,G - All Ages,5.82,137.0,976,2023-12-31 17:11:11.704884
Sylvanian Families: Freya no Go for Dream!,,13.0,11.0,Summer 2023,2023-07-06,2023-10-05,['LandQ studios'],Other,['Slice of Life'],,Kids,G - All Ages,,,264,2023-12-31 17:11:17.449411
Balala Xiao Mo Xian: Xing Yuan Die Qi 1,Balala The Fairies: Star Fate Butterfly Awakening,26.0,13.0,Summer 2023,2023-08-11,2023-08-23,,Original,['Fantasy'],['Mahou Shoujo'],,PG - Children,,,162,2023-12-31 17:11:23.161564
Dino Powers 2,,26.0,11.0,Summer 2023,2023-07-20,,,Original,['Action'],['Mecha'],Kids,PG - Children,,,118,2023-12-31 17:11:28.899397
Supertrons,Supertrons,13.0,13.0,Summer 2023,2023-08-10,2023-11-16,,Other,"['Action', 'Sci-Fi']",['Mecha'],Kids,PG - Children,,,110,2023-12-31 17:11:34.636719
Shenqi Tushu Guan,,,12.0,Summer 2023,2023-08-25,,,Original,"['Adventure', 'Fantasy', 'Sci-Fi']",,Kids,G - All Ages,,,106,2023-12-31 17:11:40.576656
Space Donguibogam 2,,13.0,25.0,Summer 2023,2023-08-09,2023-11-15,,Original,['Adventure'],,Kids,PG - Children,,,99,2023-12-31 17:11:46.233170
Dinoster: Gonglyongsuhodae,Dinoster,,12.0,Summer 2023,2023-08-28,,,Original,"['Action', 'Comedy', 'Sci-Fi']",['Mecha'],,PG-13 - Teens 13 or older,,,95,2023-12-31 17:11:51.885122
Rainbow Bubblegem,Rainbow Bubblegem,26.0,11.0,Summer 2023,2023-08-30,2023-11-30,,Original,['Fantasy'],,Kids,PG - Children,,,92,2023-12-31 17:11:57.575891
Heart Cocktail Colorful: Natsu-hen,,5.0,5.0,Summer 2023,2023-07-31,2023-08-04,,Original,['Romance'],,Seinen,PG-13 - Teens 13 or older,,,91,2023-12-31 17:12:03.220013
Porong Porong Pororo 8,,26.0,11.0,Summer 2023,2023-08-28,2023-11-21,,Original,,,Kids,G - All Ages,,,85,2023-12-31 17:12:08.844157
Kimetsu no Yaiba: Katanakaji no Sato-hen,Demon Slayer: Kimetsu no Yaiba Swordsmith Village Arc,11.0,28.0,Spring 2023,2023-04-09,2023-06-18,['ufotable'],Manga,"['Action', 'Fantasy']",['Historical'],Shounen,R - 17+ (violence & profanity),8.28,408640.0,740726,2023-12-31 17:12:14.757128
"""Oshi no Ko""",[Oshi No Ko],11.0,30.0,Spring 2023,2023-04-12,2023-06-28,['Doga Kobo'],Manga,"['Drama', 'Supernatural']","['Reincarnation', 'Showbiz']",Seinen,PG-13 - Teens 13 or older,8.72,410577.0,713559,2023-12-31 17:12:20.706378
Jigokuraku,Hell's Paradise,13.0,24.0,Spring 2023,2023-04-01,2023-07-01,['MAPPA'],Manga,"['Action', 'Adventure', 'Fantasy']","['Gore', 'Historical', 'Samurai']",Shounen,R - 17+ (violence & profanity),8.13,311520.0,614543,2023-12-31 17:12:26.633122
Dr. Stone: New World,,11.0,24.0,Spring 2023,2023-04-06,2023-06-15,['TMS Entertainment'],Manga,"['Adventure', 'Comedy', 'Sci-Fi']",['Time Travel'],Shounen,PG-13 - Teens 13 or older,8.15,171724.0,423474,2023-12-31 17:12:32.785632
Tengoku Daimakyou,Heavenly Delusion,13.0,23.0,Spring 2023,2023-04-01,2023-06-24,['Production I.G'],Manga,"['Adventure', 'Mystery', 'Sci-Fi']",['Survival'],Seinen,R - 17+ (violence & profanity),8.21,183399.0,416420,2023-12-31 17:12:39.131592
Mashle,Mashle: Magic and Muscles,12.0,23.0,Spring 2023,2023-04-08,2023-07-01,['A-1 Pictures'],Manga,"['Action', 'Comedy', 'Fantasy']","['Gag Humor', 'Parody', 'School']",Shounen,PG-13 - Teens 13 or older,7.56,208733.0,413438,2023-12-31 17:12:45.161050
Yamada-kun to Lv999 no Koi wo Suru,My Love Story with Yamada-kun at Lv999,13.0,23.0,Spring 2023,2023-04-02,2023-06-25,['Madhouse'],Web manga,['Romance'],['Video Game'],,PG-13 - Teens 13 or older,7.83,175824.0,358491,2023-12-31 17:12:51.388917
Kono Subarashii Sekai ni Bakuen wo!,KonoSuba: An Explosion on This Wonderful World!,12.0,23.0,Spring 2023,2023-04-06,2023-06-22,['Drive'],Light novel,"['Comedy', 'Fantasy']",,,PG-13 - Teens 13 or older,7.49,109690.0,292250,2023-12-31 17:12:57.796301
"Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta","I Got a Cheat Skill in Another World and Became Unrivaled in The Real World, Too",13.0,24.0,Spring 2023,2023-04-07,2023-06-30,['Millepensee'],Light novel,"['Action', 'Adventure', 'Fantasy']","['Isekai', 'School']",,PG-13 - Teens 13 or older,6.35,139870.0,265780,2023-12-31 17:13:03.965891
Skip to Loafer,Skip and Loafer,12.0,23.0,Spring 2023,2023-04-04,2023-06-20,['P.A. Works'],Manga,['Drama'],['School'],Seinen,PG-13 - Teens 13 or older,8.13,103234.0,229861,2023-12-31 17:13:09.969385
Tonikaku Kawaii 2nd Season,TONIKAWA: Over The Moon For You Season 2,12.0,23.0,Spring 2023,2023-04-08,2023-06-24,['Seven Arcs'],Manga,"['Comedy', 'Romance']",,Shounen,PG-13 - Teens 13 or older,7.58,68027.0,229338,2023-12-31 17:13:15.925956
Boku no Kokoro no Yabai Yatsu,The Dangers in My Heart,12.0,23.0,Spring 2023,2023-04-02,2023-06-18,['Shin-Ei Animation'],Manga,"['Comedy', 'Romance']",['School'],Shounen,PG-13 - Teens 13 or older,8.23,108615.0,228325,2023-12-31 17:13:21.799941
Dead Mount Death Play,,12.0,23.0,Spring 2023,2023-04-11,2023-06-27,['Geek Toys'],Manga,"['Action', 'Fantasy', 'Supernatural']",['Reincarnation'],Seinen,R - 17+ (violence & profanity),7.31,84427.0,202063,2023-12-31 17:13:27.821690
Kimi wa Houkago Insomnia,Insomniacs After School,13.0,23.0,Spring 2023,2023-04-11,2023-07-04,['LIDENFILMS'],Manga,['Romance'],['School'],Seinen,PG-13 - Teens 13 or older,8.07,68819.0,189554,2023-12-31 17:13:33.893856
Mahoutsukai no Yome Season 2,The Ancient Magus' Bride Season 2,12.0,24.0,Spring 2023,2023-04-06,2023-06-22,['Studio Kafka'],Manga,"['Drama', 'Fantasy', 'Romance']","['Mythology', 'School']",Shounen,PG-13 - Teens 13 or older,7.74,48088.0,164612,2023-12-31 17:13:39.940853
Kaminaki Sekai no Kamisama Katsudou,KamiKatsu: Working for God in a Godless World,12.0,23.0,Spring 2023,2023-04-06,2023-07-06,['Studio Palette'],Manga,"['Action', 'Comedy', 'Fantasy']","['Isekai', 'Parody', 'Reincarnation']",Seinen,R - 17+ (violence & profanity),6.75,70501.0,163359,2023-12-31 17:13:46.100998
Tensei Kizoku no Isekai Boukenroku: Jichou wo Shiranai Kamigami no Shito,The Aristocrat's Otherworldly Adventure: Serving Gods Who Go Too Far,12.0,23.0,Spring 2023,2023-04-03,2023-06-19,"['Magic Bus', 'EMT Squared']",Light novel,"['Action', 'Fantasy', 'Romance']","['Harem', 'Isekai', 'Reincarnation']",,PG-13 - Teens 13 or older,6.67,75162.0,144645,2023-12-31 17:13:52.079042
Isekai Shoukan wa Nidome desu,Summoned to Another World for a Second Time,12.0,23.0,Spring 2023,2023-04-09,2023-06-25,['Studio Elle'],Light novel,"['Adventure', 'Comedy', 'Fantasy', 'Romance']","['Harem', 'Isekai']",,PG-13 - Teens 13 or older,5.66,51438.0,137717,2023-12-31 17:13:58.123067
Ousama Ranking: Yuuki no Takarabako,Ranking of Kings: The Treasure Chest of Courage,10.0,22.0,Spring 2023,2023-04-14,2023-06-16,['Wit Studio'],Web manga,"['Adventure', 'Fantasy']",,,PG-13 - Teens 13 or older,7.27,31487.0,128580,2023-12-31 17:14:04.285401
Otonari ni Ginga,A Galaxy Next Door,12.0,24.0,Spring 2023,2023-04-09,2023-06-25,['Asahi Production'],Manga,"['Romance', 'Supernatural']","['Childcare', 'Otaku Culture']",Seinen,PG-13 - Teens 13 or older,7.14,47019.0,126809,2023-12-31 17:14:10.545271
Kanojo ga Koushaku-tei ni Itta Riyuu,Why Raeliana Ended up at the Duke's Mansion,12.0,23.0,Spring 2023,2023-04-10,2023-06-26,['Typhoon Graphics'],Web manga,"['Fantasy', 'Romance']","['Isekai', 'Reincarnation']",,PG-13 - Teens 13 or older,7.5,52787.0,123850,2023-12-31 17:14:16.442371
Isekai wa Smartphone to Tomo ni. 2,In Another World With My Smartphone 2,12.0,23.0,Spring 2023,2023-04-03,2023-06-19,['J.C.Staff'],Light novel,"['Adventure', 'Comedy', 'Fantasy', 'Romance']","['Harem', 'Isekai', 'Reincarnation']",,PG-13 - Teens 13 or older,6.44,45829.0,121074,2023-12-31 17:14:22.778870
My Home Hero,,12.0,23.0,Spring 2023,2023-04-02,2023-06-18,['Tezuka Productions'],Manga,"['Drama', 'Suspense']","['Adult Cast', 'Organized Crime']",Seinen,R - 17+ (violence & profanity),7.05,41683.0,118919,2023-12-31 17:14:28.804046
Yuusha ga Shinda!,The Legendary Hero Is Dead!,12.0,23.0,Spring 2023,2023-04-07,2023-06-23,['LIDENFILMS'],Web manga,"['Action', 'Comedy', 'Fantasy', 'Ecchi']","['Harem', 'Parody']",,PG-13 - Teens 13 or older,6.63,44967.0,110729,2023-12-31 17:14:34.901698
Megami no Café Terrace,The Café Terrace and Its Goddesses,12.0,23.0,Spring 2023,2023-04-08,2023-06-24,['Tezuka Productions'],Manga,"['Comedy', 'Romance', 'Ecchi']","['Adult Cast', 'Harem']",Shounen,PG-13 - Teens 13 or older,7.32,43838.0,101312,2023-12-31 17:14:40.767158
Isekai One Turn Kill Neesan: Ane Douhan no Isekai Seikatsu Hajimemashita,My One-Hit Kill Sister,12.0,23.0,Spring 2023,2023-04-08,2023-06-24,['Gekkou'],Manga,"['Comedy', 'Fantasy']",['Isekai'],Seinen,PG-13 - Teens 13 or older,6.34,33279.0,91488,2023-12-31 17:14:46.562743
Kidou Senshi Gundam: Suisei no Majo Season 2,Mobile Suit Gundam: The Witch from Mercury Season 2,12.0,24.0,Spring 2023,2023-04-09,2023-07-02,['Sunrise'],Original,"['Action', 'Sci-Fi']","['Mecha', 'School', 'Space']",,R - 17+ (violence & profanity),7.96,43300.0,80822,2023-12-31 17:14:52.513072
Kuma Kuma Kuma Bear Punch!,,12.0,23.0,Spring 2023,2023-04-03,2023-06-19,['EMT Squared'],Light novel,"['Adventure', 'Comedy', 'Fantasy']",['Isekai'],,PG-13 - Teens 13 or older,7.27,25692.0,72230,2023-12-31 17:14:58.591463
Mahou Shoujo Magical Destroyers,Magical Destroyers,12.0,23.0,Spring 2023,2023-04-08,2023-06-24,['Bibury Animation Studios'],Original,"['Action', 'Fantasy']","['Mahou Shoujo', 'Otaku Culture', 'Psychological']",,PG-13 - Teens 13 or older,6.3,19500.0,67291,2023-12-31 17:15:04.745106
Niehime to Kemono no Ou,Sacrificial Princess and the King of Beasts,24.0,23.0,Spring 2023,2023-04-20,2023-09-28,['J.C.Staff'],Manga,"['Fantasy', 'Romance']",['Anthropomorphic'],Shoujo,PG-13 - Teens 13 or older,8.0,18006.0,63532,2023-12-31 17:15:11.016377
Edens Zero 2nd Season,,25.0,23.0,Spring 2023,2023-04-02,2023-10-01,['J.C.Staff'],Manga,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",['Space'],Shounen,PG-13 - Teens 13 or older,7.42,14175.0,61937,2023-12-31 17:15:17.104307
Jijou wo Shiranai Tenkousei ga Guigui Kuru.,My Clueless First Friend,13.0,23.0,Spring 2023,2023-04-09,2023-07-02,['Studio Signpost'],Manga,['Comedy'],"['Romantic Subtext', 'School']",Shounen,PG-13 - Teens 13 or older,7.52,26870.0,60854,2023-12-31 17:15:23.086875
Edomae Elf,Otaku Elf,12.0,24.0,Spring 2023,2023-04-08,2023-06-24,['C2C'],Manga,"['Comedy', 'Supernatural']",,Shounen,PG-13 - Teens 13 or older,7.29,19900.0,55163,2023-12-31 17:15:29.239770
Ao no Orchestra,Blue Orchestra,24.0,25.0,Spring 2023,2023-04-09,2023-10-08,['Nippon Animation'],Web manga,['Drama'],"['Music', 'Performing Arts', 'School']",,PG-13 - Teens 13 or older,7.15,12778.0,53281,2023-12-31 17:15:35.091211
Watashi no Yuri wa Oshigoto desu!,Yuri is My Job!,12.0,23.0,Spring 2023,2023-04-06,2023-06-22,"['Passione', 'Studio Lings']",Manga,"['Comedy', 'Girls Love']",['Workplace'],,PG-13 - Teens 13 or older,6.7,17273.0,49742,2023-12-31 17:15:41.325202
Rokudou no Onna-tachi,Rokudo's Bad Girls,12.0,23.0,Spring 2023,2023-04-08,2023-06-24,['Satelight'],Manga,"['Comedy', 'Romance']","['Delinquents', 'Harem', 'School']",Shounen,PG-13 - Teens 13 or older,6.43,18306.0,45952,2023-12-31 17:15:47.655396
Kawaisugi Crisis,Too Cute Crisis,12.0,23.0,Spring 2023,2023-04-07,2023-06-23,['SynergySP'],Manga,"['Comedy', 'Sci-Fi']",['Pets'],Shounen,PG-13 - Teens 13 or older,6.83,12054.0,38363,2023-12-31 17:15:53.975750
Birdie Wing: Golf Girls' Story Season 2,,12.0,23.0,Spring 2023,2023-04-08,2023-06-24,['Bandai Namco Pictures'],Original,['Sports'],,,PG-13 - Teens 13 or older,7.61,12841.0,30964,2023-12-31 17:15:59.814835
Pokemon (2023),Pokémon Horizons: The Series,,24.0,Spring 2023,2023-04-14,,['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,Kids,PG - Children,7.45,5016.0,25491,2023-12-31 17:16:05.661144
